Res2_Phage_B2_2	41078.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	342.0	2078.0	4557.0	4785.0	4500.0	4753.0	5444.0	6516.0	8483.0	10828.0	14006.0	17919.0	23388.0	29378.0	37779.0	48499.0	62154.0	81421.0	107495.0	144119.0	197803.0	272909.0	367171.0	440511.0	643338.0	2573405.0
Res2_Phage_B3_1	35498.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	3.0	8.0	25.0	131.0	248.0	192.0	121.0	103.0	132.0	185.0	251.0	388.0	731.0	1182.0	1863.0	3028.0	4872.0	7745.0	12759.0	20057.0	32452.0	59484.0	178973.0
Res2_Phage_B3_2	34729.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	13.0	87.0	349.0	524.0	479.0	371.0	476.0	594.0	861.0	1115.0	1529.0	2119.0	2761.0	3727.0	4841.0	6240.0	8235.0	10751.0	14156.0	17882.0	22297.0	25633.0	27365.0	26893.0	25335.0	32454.0	88613.0
Res2_Phage_B4_1	46278.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	5.0	13.0	14.0	8.0	8.0	13.0	50.0	108.0	286.0	511.0	595.0	685.0	840.0	1046.0	1419.0	2169.0	3247.0	5024.0	7823.0	12183.0	18881.0	28951.0	44882.0	68392.0	102612.0	152494.0	246001.0	924895.0
Res2_Phage_B4_2	43763.0	0.0	0.0	4.0	1.0	20.0	38.0	48.0	118.0	109.0	350.0	1132.0	1875.0	1865.0	1770.0	2123.0	2903.0	3666.0	5267.0	6990.0	9401.0	12522.0	16699.0	21753.0	28347.0	36846.0	47158.0	59460.0	72264.0	81451.0	77956.0	71240.0	86454.0	131213.0	213957.0	630676.0
Res2_Phage_B5_1	1892.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	2.0	3.0	10.0	19.0	93.0	144.0	146.0	108.0	143.0	149.0	214.0	322.0	534.0	833.0	1321.0	2326.0	3555.0	5535.0	8689.0	13512.0	21538.0	34663.0	62474.0	244647.0
Res2_Phage_B5_2	1794.0	0.0	0.0	0.0	1.0	13.0	23.0	24.0	41.0	22.0	88.0	321.0	652.0	632.0	558.0	583.0	708.0	884.0	1228.0	1628.0	2098.0	2765.0	3641.0	4780.0	6278.0	7781.0	9735.0	12097.0	13856.0	15024.0	15319.0	15501.0	19062.0	29532.0	57471.0	178737.0
Res2_Phage_B6_1	64347.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	11.0	3.0	9.0	6.0	28.0	72.0	184.0	612.0	832.0	669.0	518.0	492.0	604.0	675.0	934.0	1366.0	2019.0	3241.0	5079.0	7902.0	12721.0	19827.0	31239.0	49598.0	82322.0	158923.0	653852.0
Res2_Phage_B6_2	62299.0	0.0	0.0	1.0	0.0	0.0	1.0	19.0	30.0	87.0	316.0	1093.0	1744.0	1554.0	1314.0	1321.0	1482.0	1821.0	2393.0	3160.0	4242.0	5513.0	6838.0	8847.0	11115.0	13648.0	16620.0	19965.0	23533.0	26519.0	28509.0	33527.0	47621.0	80076.0	158332.0	534549.0
Res2_Phage_C1_1	139095.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	9.0	9.0	12.0	20.0	32.0	93.0	201.0	434.0	1672.0	2856.0	2119.0	1475.0	1429.0	1846.0	2545.0	3910.0	6066.0	9484.0	15218.0	23371.0	36309.0	54659.0	82363.0	121360.0	174409.0	250475.0	424418.0	1521757.0
