Sample	34	44	54	64	74	84	94	104	114	124	134	144	154	164	174	184	194	204	214	224	234	244	254	264	274	284	294	301
Res2_Phage_B4_1	48210.0	8030.0	15828.0	21801.0	27561.0	33250.0	39443.0	45762.0	51575.0	57310.0	60996.0	64725.0	66462.0	67856.0	67858.0	67305.0	65929.0	63036.0	60627.0	57388.0	53560.0	49268.0	44464.0	39839.0	34420.0	30156.0	58539.0	368241.0
Res2_Phage_B4_2	45681.0	8000.0	15759.0	21736.0	27467.0	33095.0	39251.0	45509.0	51286.0	56976.0	60492.0	64158.0	65745.0	66927.0	66580.0	65508.0	62948.0	58038.0	52327.0	44740.0	33542.0	28045.0	21723.0	15320.0	11402.0	9192.0	73317.0	524675.0
Res2_Phage_B5_1	3078.0	6606.0	13080.0	16942.0	19585.0	20525.0	20986.0	21115.0	20616.0	19913.0	18965.0	17745.0	16781.0	15618.0	14096.0	13192.0	12068.0	11141.0	10168.0	9392.0	8372.0	7573.0	6871.0	5837.0	5005.0	4540.0	7912.0	55155.0
Res2_Phage_B5_2	2958.0	6522.0	12961.0	16794.0	19397.0	20337.0	20801.0	20910.0	20420.0	19717.0	18744.0	17519.0	16520.0	15324.0	13720.0	12684.0	11254.0	9821.0	8114.0	6441.0	4611.0	3483.0	2665.0	1867.0	1426.0	1256.0	10877.0	85734.0
Res2_Phage_B6_1	69534.0	19782.0	35531.0	46314.0	52949.0	57527.0	60210.0	60522.0	59402.0	57752.0	54735.0	51840.0	48502.0	44291.0	40633.0	37119.0	33430.0	29947.0	26620.0	23804.0	20888.0	18118.0	15522.0	13205.0	10877.0	9369.0	13646.0	86020.0
Res2_Phage_B6_2	67460.0	19717.0	35385.0	46155.0	52735.0	57256.0	59941.0	60222.0	59013.0	57335.0	54216.0	51169.0	47706.0	43299.0	39386.0	35368.0	31091.0	26708.0	22165.0	17708.0	12433.0	9177.0	6296.0	4005.0	2736.0	2165.0	21040.0	156202.0
Res2_Phage_C1_1	154328.0	46118.0	71756.0	85851.0	95835.0	101053.0	104219.0	106054.0	106264.0	104524.0	103327.0	100235.0	96951.0	93379.0	88608.0	85478.0	81955.0	77754.0	73782.0	69567.0	65391.0	61192.0	56268.0	50637.0	45068.0	40476.0	85632.0	625948.0
Res2_Phage_C1_2	148386.0	45863.0	71399.0	85389.0	95302.0	100470.0	103618.0	105345.0	105470.0	103600.0	102246.0	98953.0	95401.0	91272.0	85994.0	81706.0	76308.0	69202.0	60978.0	51239.0	38233.0	30677.0	22794.0	15434.0	11482.0	9825.0	110218.0	860846.0
Res2_Phage_C2_1	56418.0	16028.0	26697.0	33572.0	38014.0	40552.0	42265.0	43063.0	42216.0	41655.0	39606.0	38391.0	36301.0	34022.0	32222.0	29594.0	27395.0	25280.0	23576.0	21664.0	19684.0	17741.0	15993.0	13969.0	11757.0	10734.0	21939.0	158043.0
Res2_Phage_C2_2	53629.0	15875.0	26470.0	33322.0	37629.0	40213.0	41843.0	42618.0	41703.0	41056.0	38979.0	37591.0	35372.0	32843.0	30670.0	27521.0	24350.0	20913.0	17507.0	13879.0	10272.0	7841.0	5954.0	3986.0	2840.0	2570.0	28994.0	241951.0
Res2_Phage_C3_1	3032.0	3610.0	6346.0	8163.0	9368.0	10719.0	11893.0	13446.0	14910.0	16471.0	18007.0	19554.0	21327.0	22874.0	24561.0	26260.0	27223.0	28578.0	28730.0	29300.0	28666.0	27752.0	25877.0	23808.0	21397.0	19257.0	39584.0	293586.0
Res2_Phage_C3_2	2936.0	3596.0	6309.0	8126.0	9317.0	10680.0	11819.0	13375.0	14802.0	16349.0	17843.0	19306.0	20946.0	22306.0	23655.0	24831.0	24907.0	24810.0	22554.0	20027.0	14947.0	11860.0	8296.0	5571.0	4192.0	3710.0	51754.0	405475.0
Res2_Phage_C4_1	29110.0	10101.0	20081.0	28791.0	35929.0	42666.0	49913.0	56199.0	63277.0	68630.0	73779.0	77055.0	79646.0	80510.0	79245.0	77910.0	74509.0	70475.0	65238.0	60201.0	54933.0	49419.0	43740.0	38152.0	32370.0	27657.0	45628.0	282892.0
Res2_Phage_C4_2	27978.0	10044.0	19996.0	28661.0	35787.0	42422.0	49629.0	55896.0	62897.0	68201.0	73204.0	76337.0	78603.0	79288.0	77513.0	75264.0	70320.0	63897.0	55459.0	45965.0	34782.0	28192.0	20902.0	14315.0	10176.0	7903.0	61670.0	442755.0
Res2_Phage_C5_1	20403.0	11968.0	24246.0	34077.0	40540.0	45837.0	48972.0	51090.0	51119.0	51038.0	49751.0	47846.0	45917.0	43394.0	41078.0	38095.0	36088.0	32921.0	30473.0	27627.0	25412.0	23275.0	20769.0	18557.0	16257.0	14154.0	23687.0	171349.0
Res2_Phage_C5_2	19664.0	11886.0	24115.0	33894.0	40361.0	45600.0	48661.0	50777.0	50712.0	50574.0	49275.0	47286.0	45218.0	42470.0	39782.0	36296.0	33500.0	29182.0	24848.0	20120.0	15289.0	11835.0	8569.0	6023.0	4605.0	3784.0	32709.0	258905.0
Res2_Phage_C6_1	28966.0	4746.0	8192.0	10301.0	12037.0	13451.0	14407.0	15329.0	16584.0	17838.0	18543.0	19736.0	20286.0	21124.0	21659.0	22018.0	22404.0	22337.0	22179.0	21702.0	21437.0	20547.0	19568.0	18354.0	16950.0	15782.0	31633.0	237400.0
Res2_Phage_C6_2	28003.0	4723.0	8167.0	10267.0	12004.0	13399.0	14342.0	15282.0	16514.0	17758.0	18425.0	19577.0	20067.0	20814.0	21223.0	21352.0	21304.0	20541.0	19414.0	17489.0	14902.0	12902.0	10248.0	7253.0	5412.0	4283.0	36684.0	303161.0
Res2_Phage_D1_1	30982.0	12703.0	21528.0	26965.0	29986.0	32064.0	33812.0	35268.0	36491.0	37780.0	38650.0	39674.0	40451.0	41157.0	41141.0	41367.0	41703.0	40944.0	40674.0	39489.0	38311.0	36932.0	34577.0	32229.0	29515.0	26964.0	48517.0	346406.0
Res2_Phage_D1_2	30211.0	12633.0	21385.0	26812.0	29830.0	31900.0	33592.0	35019.0	36191.0	37481.0	38271.0	39215.0	39904.0	40352.0	40026.0	39819.0	39454.0	37141.0	34644.0	30452.0	24507.0	20443.0	15369.0	10904.0	8208.0	6947.0	60949.0	474621.0
Res2_Phage_D2_1	9865.0	5539.0	12517.0	19563.0	26702.0	33912.0	40930.0	47376.0	53003.0	57076.0	61081.0	62619.0	64363.0	65020.0	64409.0	64048.0	62168.0	59902.0	57703.0	55013.0	51845.0	48126.0	43753.0	39518.0	34708.0	30494.0	62517.0	424154.0
Res2_Phage_D2_2	9532.0	5491.0	12405.0	19430.0	26494.0	33676.0	40663.0	47044.0	52582.0	56576.0	60515.0	61912.0	63495.0	63912.0	62965.0	61801.0	58824.0	54255.0	48483.0	40662.0	29273.0	22863.0	16336.0	11644.0	8967.0	7921.0	83483.0	596720.0
Res2_Phage_D3_1	7618.0	12040.0	29311.0	42639.0	51432.0	57941.0	62217.0	65029.0	66899.0	66952.0	65851.0	64600.0	61884.0	59558.0	56938.0	53147.0	49670.0	46558.0	42908.0	39285.0	35991.0	32527.0	29057.0	24751.0	20761.0	17917.0	41059.0	263496.0
Res2_Phage_D3_2	7200.0	11990.0	29167.0	42443.0	51155.0	57627.0	61880.0	64648.0	66493.0	66493.0	65388.0	64094.0	61307.0	58849.0	56095.0	51909.0	47604.0	42895.0	36774.0	29537.0	21037.0	16847.0	13179.0	9865.0	7872.0	6806.0	53049.0	365833.0
Res2_Phage_D4_1	2101.0	3327.0	8933.0	14408.0	17423.0	19654.0	20936.0	21823.0	22305.0	22777.0	23113.0	23712.0	24608.0	24579.0	24460.0	24612.0	24277.0	23749.0	22897.0	21605.0	20063.0	18477.0	16215.0	14118.0	11760.0	9687.0	13603.0	71409.0
Res2_Phage_D4_2	1998.0	3301.0	8886.0	14339.0	17305.0	19544.0	20813.0	21670.0	22139.0	22636.0	22906.0	23496.0	24327.0	24237.0	24008.0	23942.0	23154.0	21842.0	19669.0	16725.0	13248.0	11634.0	9472.0	7361.0	5656.0	4338.0	18682.0	119303.0
Res2_Phage_D5_1	24174.0	9050.0	17988.0	27293.0	36623.0	46321.0	56167.0	65438.0	73482.0	79440.0	83545.0	84663.0	84002.0	82155.0	78531.0	74806.0	69903.0	65237.0	59385.0	54759.0	49304.0	43957.0	39041.0	33608.0	27693.0	23773.0	38810.0	257461.0
Res2_Phage_D5_2	23182.0	9026.0	17913.0	27160.0	36480.0	46082.0	55831.0	65002.0	73012.0	78832.0	82732.0	83593.0	82643.0	80247.0	75874.0	70978.0	63848.0	55687.0	45854.0	37306.0	28503.0	23322.0	18798.0	14254.0	10828.0	8671.0	53083.0	417868.0
Res2_Phage_D6_1	24767.0	24164.0	49751.0	70371.0	84577.0	95200.0	102556.0	106924.0	107671.0	106932.0	102867.0	99010.0	93528.0	87999.0	81201.0	74256.0	68195.0	61866.0	56737.0	51501.0	46802.0	41701.0	37291.0	32931.0	27976.0	24391.0	38344.0	265181.0
Res2_Phage_D6_2	23735.0	24024.0	49484.0	69988.0	84107.0	94618.0	101804.0	106116.0	106812.0	105972.0	101718.0	97713.0	92033.0	86184.0	78909.0	71430.0	63697.0	54915.0	46788.0	39011.0	33519.0	28927.0	25538.0	20635.0	15818.0	12914.0	46832.0	381449.0
Res2_Phage_E1_1	344573.0	66844.0	111641.0	139918.0	157973.0	171765.0	180774.0	187284.0	192997.0	195197.0	195846.0	193270.0	191326.0	188011.0	183270.0	177581.0	171374.0	165834.0	158667.0	151318.0	143710.0	135728.0	128762.0	120677.0	112102.0	102464.0	145140.0	1415927.0
Res2_Phage_E1_2	331518.0	66643.0	111380.0	139646.0	157590.0	171239.0	180251.0	186630.0	192307.0	194323.0	194794.0	192000.0	189809.0	185965.0	180514.0	173750.0	165806.0	157482.0	146335.0	134046.0	119110.0	104674.0	89476.0	72644.0	58876.0	47545.0	193982.0	1691638.0
Res2_Phage_E2_1	240344.0	22782.0	41630.0	55666.0	67762.0	77372.0	85213.0	90271.0	93150.0	94735.0	94403.0	92931.0	89768.0	86504.0	81572.0	77081.0	71794.0	66386.0	61081.0	56437.0	50864.0	45486.0	39659.0	34736.0	28536.0	24183.0	44986.0	301387.0
Res2_Phage_E2_2	226605.0	22619.0	41353.0	55396.0	67209.0	76757.0	84358.0	89378.0	92081.0	93608.0	92994.0	91276.0	87775.0	83997.0	78396.0	72392.0	64410.0	54416.0	44086.0	35284.0	28782.0	25391.0	23120.0	20428.0	16752.0	13925.0	58476.0	475455.0
Res2_Phage_E3_1	149065.0	29952.0	47241.0	59604.0	69224.0	76166.0	81414.0	84771.0	85488.0	85662.0	84238.0	81454.0	77699.0	74354.0	69227.0	65148.0	59931.0	55748.0	50790.0	46387.0	41897.0	37375.0	32837.0	28269.0	23071.0	19311.0	34335.0	228138.0
Res2_Phage_E3_2	141718.0	29714.0	46923.0	59164.0	68630.0	75401.0	80566.0	83874.0	84421.0	84429.0	82718.0	79606.0	75465.0	71367.0	65451.0	59546.0	51359.0	42507.0	33065.0	25860.0	21056.0	18077.0	16323.0	13885.0	11102.0	9110.0	46530.0	400929.0
Res2_Phage_E4_1	200128.0	79833.0	138322.0	182264.0	213460.0	234817.0	247513.0	254543.0	256408.0	255850.0	252586.0	246847.0	240627.0	232120.0	223812.0	216266.0	206369.0	196347.0	186746.0	176328.0	167097.0	157296.0	148417.0	138397.0	128809.0	118535.0	146198.0	1643782.0
