prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndC_bin_107_k141_392545_fragment_1	IndC_bin_107_k141_392545	no	0.1041643016280992	0	0.980864587495039	-0.04819027518282715	30696	2.470191555903049	2.0	1.9216848406035136	7045	2.5183818310858763	2	1.5050959034944718
IndC_bin_093_k141_379360_fragment_2	IndC_bin_093_k141_379360	no	0.016506128831976795	0	0.9355167522482163	-0.4529855091822288	12293	6.571870170015456	6	3.679984214522352	64613	7.024855679197684	7	3.612494400757683
IndC_bin_129_k141_29356_fragment_1	IndC_bin_129_k141_29356	no	0.44348690639444366	0.048499240146905716	1.0283623872308325	0.1633503029334049	12207	5.92274924223806	5	3.2553935952340813	33940	5.759398939304655	5.0	3.477155611645671
IndC_bin_122_k141_150173_fragment_3	IndC_bin_122_k141_150173	no	7.013000771170301e-09	0	0.7287270901520765	-1.0404137685204353	80025	2.7948890971571383	2	2.2225625829610878	312003	3.8353028656775736	4	2.503039397696466
IndC_bin_110_k141_400326_fragment_1	IndC_bin_110_k141_400326	no	2.620298811729546e-05	0.3359762338701433	1.9486942995382805	0.2832457374800205	14656	0.5818094978165939	0.0	1.0251664505110152	6893	0.29856376033657334	0	0.6086954287329888
IndC_bin_041_k141_142069_fragment_2	IndC_bin_041_k141_142069	no	0.8365215154810628	0.014087414378264416	1.008132449864915	0.040570168619442626	11283	5.029247540547726	5	2.8942593406554624	52373	4.988677371928284	5	2.8654435835399896
IndC_bin_060_k141_279783_fragment_1	IndC_bin_060_k141_279783	no	3.6771024634480944e-09	0.5174241851744399	1.3758036610181723	1.5090816687674868	74007	5.524693610063913	5	3.284521220508279	29913	4.015611941296426	4	2.4948309039054717
IndC_bin_129_k141_74455_fragment_1	IndC_bin_129_k141_74455	no	0.000767303179607094	0.3352161952019062	1.1917936349948892	1.0258789000420263	12363	6.37474722963682	6	3.1128377121196382	207746	5.348868329594794	5.0	3.0069463323862076
IndC_bin_016_k141_329450_fragment_1	IndC_bin_016_k141_329450	no	0.13216072836273074	0	0.9144444003783919	-0.2695884652577325	8283	2.881443921284559	3	2.0965461279424233	9541	3.1510323865422913	3	2.34255505498561
IndC_bin_082_k141_326617_fragment_1	IndC_bin_082_k141_326617	no	8.819024098654659e-57	0	0.8047129576891878	-44.71463817536116	37375	184.25415384615386	183	37.03482239890824	17848	228.96879202151501	226.0	39.031898241801905
IndC_bin_046_k141_142401_fragment_2	IndC_bin_046_k141_142401	no	4.472876822072373e-16	0.5456108780408403	1.1159363621883385	11.335243220291105	13334	109.10649467526623	107.0	20.306558478112798	113404	97.77125145497513	96.0	21.233744984965657
IndC_bin_130_k141_37876_fragment_1	IndC_bin_130_k141_37876	no	0.003908975293293626	0.2145582234960488	1.1649455653980447	0.630077778819198	28405	4.449991198732618	4	3.280829706139687	17325	3.8199134199134197	3	2.5463168500208644
IndC_bin_075_k141_174694_fragment_1	IndC_bin_075_k141_174694	no	1.0360598199876106e-07	0	0.7745927052440124	-0.6259670218984463	92685	2.1510816205426986	2	1.9200424445690647	12191	2.777048642441145	2	2.0821523344215436
IndC_bin_107_k141_12983_fragment_1	IndC_bin_107_k141_12983	no	0.21492169949493417	0.0902972917167216	1.0729944617516098	0.18501176663521912	52759	2.719611819784302	2	2.0057690859193116	37630	2.534600053149083	2.0	2.091177217885327
IndC_bin_074_k141_407510_fragment_1	IndC_bin_074_k141_407510	no	0.19504620516396634	0.04901171668485394	1.0527025919944342	0.07918810762311601	31853	1.581734844441654	1	1.6117626667798743	35732	1.502546736818538	1.0	1.619622753506009
IndC_bin_128_k141_348909_fragment_1	IndC_bin_128_k141_348909	yes	1.0076171224222189e-62	1.1397497320437238	1.6887061315707521	6.173633404332541	8371	15.137737426830725	15	5.84125103974335	158235	8.964104022498184	8	4.955818112338332
IndC_bin_128_k141_348909_fragment_4	IndC_bin_128_k141_348909	yes	4.198691308969068e-58	1.0782848081546805	1.7015128882465163	6.288434503364915	8371	15.252538525863098	15	6.592546147132376	158235	8.964104022498184	8	4.955818112338332
IndC_bin_107_k141_345062_fragment_1	IndC_bin_107_k141_345062	no	0.500928609960347	0	0.9462462028765297	-0.11328251811029899	23933	1.9941503363556596	2	1.7920141187130187	35222	2.1074328544659586	2.0	1.8451408747407922
