	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126
Res2_RNA_A1_1	31.42485084953759	32.90230908974316	33.06022682289416	33.17739829730424	33.42525388357137	36.97028761394461	37.583800171045915	37.84933657816071	37.9871878262631	37.99753230787803	38.03519537634696	38.03241900615302	38.022799066845145	38.00314683911796	38.00634791157215	38.005763120537964	37.9893730782003	37.9713272619783	37.94408467711907	37.943553968772946	37.93297701194504	37.92034144806322	37.89240068432427	37.89023248073674	37.86522749804898	37.85401008569319	37.850203533191376	37.836784749545686	37.815026209515125	37.81100272366845	37.79160657269871	37.751660130126865	37.716490891235	37.707188945076744	37.69382539908831	37.686202326198355	37.67985270728044	37.65818829723946	37.63368951746441	37.60426705378556	37.57811774770361	37.55398064904348	37.525341480452575	37.50857471729242	37.490880262786625	37.46094290881804	37.42149114457498	37.35193704152431	37.33632248567851	37.289795053728916	37.24528384648531	37.19350371505885	37.113919859499504	37.07626394681799	37.04352433628063	36.334655337858365	36.928424700854194	36.99643059280401	36.98644149018946	36.93227898371347	36.86882372061677	36.797083085119574	36.73476950907432	36.617619552242545	36.50288430959783	36.360337910844514	36.035836334035366	32.488418345510645
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126
Res2_RNA_A1_2	33.3114332258827	33.33231220665352	33.33198836333383	33.27731488342017	33.2857071909035	37.622715954257394	37.64486464790438	37.59643884832297	37.62510910065009	37.5912042768409	37.566142022745765	37.5468290044502	37.5635577038429	37.534228943317174	37.5255645401558	37.51837483179506	37.48680138863453	37.49093241215668	37.482451197153196	37.48057560250098	37.48133268480976	37.459856735612135	37.426648207580705	37.42416193551948	37.407196392117264	37.37858105104306	37.356578009055056	37.34114463272507	37.30044291562232	37.28254636661504	37.25531465353109	37.26416053750459	37.186978339958756	37.10500713796072	37.08212549081797	37.07303723906924	37.058151519002934	37.039676129563645	37.02326698001818	36.97019134977283	36.9281472571666	36.88045400935253	36.853315271288956	36.795429570957566	36.70473107019295	36.66075998680523	36.6102964198315	36.55332819187915	36.47095197231328	36.42736335948602	36.32128980833588	36.226177843864335	36.1857950740162	36.10901854684688	35.96513062626296	35.13658906763404	35.79492881648649	35.810857800142216	35.73680973705318	35.60429231245974	35.4401128133739	35.27667407637992	35.03482387799387	34.765301973475786	34.550649717878684	34.19158990599103	33.49225296878555	28.157132856257405
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126
Res2_RNA_A2_1	30.65428333904747	32.45766827536242	32.63707212679604	33.10930493768894	33.231446739269416	36.61954732346947	37.459709787711176	37.86341892956752	38.03129734789622	38.076754273957775	38.106589187054205	38.10638860559514	38.10099826908311	38.076379946766906	38.07530332235291	38.08140713972138	38.06190812555366	38.043156442703925	38.0136151249454	38.00935388605545	37.99613825147588	37.994124024196786	37.96831928813778	37.971880426589706	37.9473896426275	37.930224163448	37.922970978122066	37.90237437022789	37.875147864857176	37.88106642833545	37.85638826858833	37.804298748995784	37.77720549861306	37.795364149335654	37.77642082194812	37.760904379485844	37.763217669102154	37.75218963308147	37.73679628547602	37.7135273384166	37.69225574333242	37.668192284001975	37.63633248422596	37.61929798835894	37.61445769688349	37.575865824159635	37.53978979462506	37.457369138134794	37.45113321409782	37.39493807786994	37.37554505858401	37.32835167374306	37.25116917646869	37.21979576488788	37.19346727032325	36.466626839951076	37.10957636546796	37.18067853599649	37.15645019296511	37.10829681302897	37.05255493847529	36.99242191514827	36.9402369352571	36.835429865163825	36.713814667924225	36.58204807674209	36.28514767563409	32.955470366891575
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126
Res2_RNA_A2_2	33.264834128494655	33.28312396223746	33.272612145755296	33.22424403007419	33.22903731534086	37.567480171143536	37.58346462868914	37.53184966460833	37.563972654219185	37.537355981389034	37.51034056709708	37.4954413962886	37.50844424227365	37.47906134267806	37.47386869186289	37.46498554190869	37.429177994464	37.4414854830698	37.428240042110374	37.41739349049634	37.417610298209084	37.398085621597076	37.37305143288055	37.37032013000574	37.35515018046839	37.32057857428546	37.304249421184565	37.292313513788244	37.25185152788152	37.24417618536153	37.215772352950076	37.213787632489236	37.14219537917235	37.06343738755518	37.04247324253321	37.02430323343303	37.01125125934451	37.003906133568826	36.99434267920611	36.94445576121625	36.90606424528025	36.86542644167393	36.83169790170575	36.77568137908578	36.696353845964126	36.647785573202896	36.60693959924349	36.55469925038203	36.48207840236206	36.447035985187476	36.356996503467	36.2652531652553	36.21904913254697	36.137965768995365	35.98409969430237	35.1395396407128	35.836156152278946	35.85146692073485	35.77821035305881	35.64422268730826	35.49030516290934	35.324651463815286	35.090406918994404	34.81528384785286	34.595521958389995	34.23129084241667	33.54321368393425	28.562528517640857
	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126
Res2_RNA_A3_1	30.89882758733143	29.108375523642138	30.81514042857415	31.6281789592693	31.894231246978023	35.49817680878373	35.6997790385688	36.1346670077138	36.378620846445834	36.41352349620969	36.47960450830056	36.450871341944165	36.4603702897874	36.444335968542845	36.43324238377015	36.41958040441537	36.40517245307596	36.37230631369276	36.34290727640976	36.318136504610536	36.30230336933379	36.285599773279415	36.26381610135708	36.26627007756819	36.2345653684109	36.20141899411699	36.17469649470581	36.1142479516437	36.104206481481405	36.084965964189706	36.04497503195381	35.951126151655956	35.8930773052668	35.894866409913966	35.86136521175101	35.83243419658478	35.808644407536136	35.7943874957053	35.73304735513235	35.6973621022065	35.692277879922784	35.64213053894767	36.12702323211258	36.72120062075929	36.7184743518915	36.669967803609495	36.60620327803643	36.53609570761896	36.51086464768011	36.4493741286772	36.425386884514275	36.32934991129689	36.29226961694328	36.21636923525204	36.1775634298817	36.099928053645186	36.054091666502316	35.968843888349475	35.86302524107243	35.73477532840779	35.635822982496435	35.519856468495675	35.434845362943705	35.27185252455686	35.11623938269861	34.900249866418264	34.404265555121555	29.619587030492603
