Sample	Unique Reads	Duplicate Reads
trimmed_Res2_DNA_I1_1_paired	27884176.0	2269658.0
trimmed_Res2_DNA_I1_2_paired	28003320.0	2150514.0
trimmed_Res2_DNA_I2_1_paired	49767972.0	9134408.0
trimmed_Res2_DNA_I2_2_paired	49776419.0	9125961.0
trimmed_Res2_DNA_I3_1_paired	27116778.0	6536615.0
trimmed_Res2_DNA_I3_2_paired	27235407.0	6417986.0
trimmed_Res2_DNA_I4_1_paired	27594843.0	5281007.0
trimmed_Res2_DNA_I4_2_paired	27731143.0	5144707.0
trimmed_Res2_DNA_I5_1_paired	31035134.0	3651550.0
trimmed_Res2_DNA_I5_2_paired	31177094.0	3509590.0
trimmed_Res2_DNA_I6_1_paired	28519921.0	3020392.0
trimmed_Res2_DNA_I6_2_paired	28719168.0	2821145.0
trimmed_Res2_DNA_J1_1_paired	29849052.0	5801686.0
trimmed_Res2_DNA_J1_2_paired	30085796.0	5564942.0
trimmed_Res2_DNA_J2_1_paired	25496284.0	9162393.0
trimmed_Res2_DNA_J2_2_paired	25746748.0	8911929.0
trimmed_Res2_DNA_J4_1_paired	27294679.0	3878375.0
trimmed_Res2_DNA_J4_2_paired	27457585.0	3715469.0
trimmed_Res2_DNA_J5_1_paired	28279646.0	4515036.0
trimmed_Res2_DNA_J5_2_paired	28443276.0	4351406.0
trimmed_Res2_DNA_J6_1_paired	30262723.0	3905004.0
trimmed_Res2_DNA_J6_2_paired	30453335.0	3714392.0
