Sample	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126
trimmed_Res2_DNA_B3_2_paired	83732.0	177330.0	189063.0	202408.0	215364.0	230205.0	247357.0	264351.0	285831.0	305822.0	329455.0	358723.0	392740.0	422382.0	466307.0	505634.0	554123.0	618615.0	687552.0	766174.0	855006.0	952195.0	1108105.0	1353350.0	2057521.0	8237103.0	17007095.0
trimmed_Res2_DNA_B4_1_paired	48364.0	99549.0	107664.0	115939.0	125724.0	135831.0	147711.0	164792.0	181080.0	194620.0	208690.0	222165.0	238041.0	255911.0	269652.0	280834.0	299713.0	327772.0	453551.0	922554.0	417561.0	434208.0	474329.0	559396.0	872745.0	4719882.0	20888807.0
trimmed_Res2_DNA_B4_2_paired	103067.0	214216.0	230352.0	247185.0	265060.0	282077.0	299142.0	318115.0	340150.0	358699.0	383539.0	406638.0	435064.0	462295.0	492713.0	519279.0	560657.0	608385.0	662475.0	721029.0	782989.0	851844.0	965500.0	1136224.0	1641036.0	6038902.0	13840453.0
trimmed_Res2_DNA_B5_1_paired	49537.0	102515.0	110662.0	118402.0	128548.0	138389.0	151890.0	169014.0	184315.0	200879.0	215796.0	227979.0	244949.0	265722.0	279458.0	291935.0	310457.0	342542.0	490304.0	1073723.0	438040.0	454998.0	498155.0	587955.0	918774.0	5175402.0	21311398.0
trimmed_Res2_DNA_B5_2_paired	108573.0	229632.0	245716.0	263401.0	281970.0	298215.0	319260.0	341859.0	363366.0	386763.0	413021.0	442922.0	475829.0	508130.0	546923.0	582596.0	629442.0	687211.0	751423.0	820094.0	898007.0	976264.0	1109231.0	1304947.0	1877376.0	6580631.0	13038936.0
trimmed_Res2_DNA_B6_1_paired	43148.0	90517.0	99004.0	105986.0	114589.0	123894.0	136445.0	152052.0	167104.0	180987.0	193642.0	205414.0	220564.0	237718.0	251752.0	261546.0	280325.0	308235.0	456880.0	1081606.0	397579.0	412095.0	452366.0	538697.0	857830.0	5379979.0	23395274.0
trimmed_Res2_DNA_B6_2_paired	110024.0	232241.0	245229.0	261900.0	279190.0	297340.0	313660.0	334690.0	357124.0	378876.0	403968.0	429737.0	460478.0	493910.0	529813.0	564966.0	609209.0	668110.0	727516.0	792516.0	872850.0	952212.0	1085544.0	1287654.0	1886601.0	7165725.0	14404145.0
trimmed_Res2_DNA_C1_1_paired	37373.0	77500.0	84488.0	89194.0	97168.0	103965.0	114365.0	126935.0	139626.0	152603.0	163824.0	174015.0	186301.0	201373.0	212884.0	223251.0	238540.0	265201.0	376553.0	794900.0	349087.0	360177.0	390663.0	455377.0	699856.0	4960903.0	20503621.0
trimmed_Res2_DNA_C1_2_paired	99976.0	209482.0	224385.0	242171.0	259606.0	274892.0	291506.0	306234.0	325630.0	345453.0	365510.0	387958.0	414761.0	439881.0	473463.0	499303.0	538242.0	582220.0	630847.0	685185.0	747652.0	810420.0	912733.0	1067813.0	1534400.0	6112147.0	12797873.0
trimmed_Res2_DNA_C2_1_paired	32984.0	66068.0	70175.0	75364.0	82390.0	88390.0	96681.0	107636.0	118684.0	129718.0	140476.0	149756.0	160443.0	170771.0	181849.0	189375.0	204141.0	225206.0	323617.0	685059.0	300966.0	313147.0	341893.0	405700.0	638271.0	4595753.0	25113794.0
trimmed_Res2_DNA_C2_2_paired	112190.0	233316.0	249681.0	267084.0	284348.0	298801.0	316470.0	334633.0	351003.0	369454.0	391268.0	412337.0	438670.0	452164.0	476727.0	496293.0	528810.0	569879.0	613881.0	662322.0	718929.0	775194.0	868124.0	1007019.0	1429889.0	5925107.0	16424714.0
trimmed_Res2_DNA_C3_1_paired	25654.0	54147.0	58594.0	63587.0	68834.0	74752.0	82667.0	91302.0	100838.0	108515.0	116316.0	125534.0	135326.0	143918.0	151805.0	160102.0	173246.0	204193.0	363146.0	427837.0	244253.0	256285.0	288308.0	381541.0	1070055.0	7802666.0	10931347.0
trimmed_Res2_DNA_C3_2_paired	61731.0	132397.0	141371.0	154944.0	168602.0	179598.0	191160.0	202151.0	215524.0	229506.0	245056.0	260585.0	278520.0	298398.0	320433.0	339989.0	365884.0	398707.0	433786.0	472799.0	513719.0	562614.0	639608.0	759120.0	1133092.0	4748040.0	10257434.0
trimmed_Res2_DNA_C4_1_paired	36331.0	75963.0	82125.0	87790.0	94131.0	102187.0	112512.0	123656.0	135479.0	147872.0	159398.0	168676.0	180559.0	193051.0	202749.0	213325.0	226948.0	251945.0	352268.0	737616.0	330428.0	342241.0	372202.0	438717.0	685400.0	4730462.0	23384922.0
