Sample	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	277	282	287	292	297	301
trimmed_Res2_Phage_A1_1_paired	17325.0	17974.0	19229.0	19999.0	21490.0	22377.0	24025.0	25071.0	25859.0	27419.0	28436.0	30450.0	31521.0	32781.0	33977.0	35672.0	36755.0	38463.0	39446.0	40880.0	41717.0	42509.0	43162.0	44038.0	43506.0	43583.0	44576.0	43946.0	43658.0	43194.0	42814.0	41134.0	40680.0	39353.0	39398.0	38545.0	38616.0	39081.0	38445.0	37426.0	36081.0	32879.0	34069.0	36478.0	68387.0	338492.0
trimmed_Res2_Phage_A1_2_paired	23449.0	24470.0	26429.0	27716.0	29340.0	31079.0	33301.0	35029.0	36000.0	38208.0	39979.0	42670.0	43898.0	45272.0	46567.0	48315.0	50040.0	52380.0	52843.0	54287.0	55955.0	57387.0	56284.0	57063.0	56737.0	57087.0	56797.0	56634.0	56740.0	56290.0	55971.0	52970.0	51134.0	48158.0	46709.0	47111.0	48109.0	44602.0	43382.0	39038.0	34823.0	27581.0	20118.0	13597.0	11124.0	12243.0
trimmed_Res2_Phage_A2_1_paired	88730.0	90627.0	92935.0	92959.0	94189.0	92194.0	92030.0	89595.0	88057.0	85470.0	83025.0	80477.0	77387.0	74678.0	71130.0	68057.0	64833.0	61692.0	58623.0	56294.0	52382.0	49808.0	46940.0	44543.0	41490.0	38962.0	35366.0	32566.0	29072.0	26449.0	24259.0	22741.0	21365.0	20782.0	21265.0	21381.0	22997.0	25356.0	27997.0	30523.0	31035.0	28375.0	23880.0	18662.0	20806.0	41674.0
trimmed_Res2_Phage_A2_2_paired	90600.0	92469.0	94904.0	95453.0	96557.0	94776.0	95051.0	92199.0	90679.0	88629.0	85849.0	83104.0	80176.0	77070.0	73566.0	70736.0	67126.0	64443.0	61481.0	59220.0	55882.0	53336.0	50488.0	48146.0	46189.0	45164.0	43294.0	44634.0	48047.0	53041.0	56031.0	52427.0	44563.0	35229.0	24379.0	16170.0	10340.0	6911.0	4526.0	3320.0	2335.0	1730.0	1215.0	789.0	681.0	703.0
trimmed_Res2_Phage_A3_1_paired	443.0	529.0	515.0	535.0	613.0	646.0	658.0	718.0	725.0	846.0	869.0	923.0	1046.0	1029.0	1146.0	1154.0	1275.0	1342.0	1434.0	1534.0	1570.0	1667.0	1782.0	1879.0	1963.0	2016.0	2074.0	2217.0	2391.0	2496.0	2566.0	2571.0	2587.0	2643.0	2613.0	2719.0	2852.0	2953.0	2936.0	3229.0	3288.0	3110.0	3553.0	4075.0	6747.0	20859.0
trimmed_Res2_Phage_A3_2_paired	1449.0	1575.0	1610.0	1654.0	1703.0	1821.0	1964.0	2071.0	2099.0	2222.0	2304.0	2394.0	2507.0	2497.0	2626.0	2735.0	2911.0	3060.0	3198.0	3262.0	3497.0	3825.0	3896.0	3897.0	4036.0	4114.0	4027.0	3969.0	4128.0	3897.0	3699.0	3483.0	3136.0	2886.0	2578.0	2133.0	1619.0	1080.0	740.0	468.0	262.0	129.0	75.0	48.0	31.0	21.0
trimmed_Res2_Phage_A4_1_paired	10230.0	9918.0	9761.0	9614.0	9868.0	9589.0	9478.0	9337.0	9300.0	9211.0	9333.0	9135.0	9192.0	9106.0	8961.0	9071.0	8900.0	8953.0	9061.0	8863.0	8899.0	8898.0	8828.0	8825.0	8830.0	8486.0	8457.0	8348.0	8167.0	8151.0	7849.0	7524.0	7570.0	7034.0	7065.0	6848.0	6620.0	6432.0	6080.0	5936.0	5691.0	5292.0	5484.0	5947.0	12213.0	84360.0
trimmed_Res2_Phage_A4_2_paired	10611.0	10428.0	10336.0	10152.0	10398.0	10171.0	10107.0	10022.0	9933.0	9935.0	10040.0	9820.0	9965.0	9919.0	9785.0	9908.0	9811.0	9921.0	10092.0	9858.0	10095.0	10311.0	10072.0	10159.0	10284.0	10035.0	10011.0	10044.0	10136.0	10174.0	10328.0	10066.0	10207.0	9729.0	10214.0	10410.0	10979.0	11380.0	11759.0	12082.0	11425.0	10180.0	8276.0	6401.0	5820.0	8926.0
trimmed_Res2_Phage_A5_1_paired	12455.0	12896.0	14147.0	14487.0	15795.0	16053.0	17151.0	17699.0	18005.0	18303.0	18778.0	19107.0	18987.0	19212.0	18792.0	19380.0	18670.0	18681.0	18219.0	18313.0	17534.0	16944.0	16915.0	16467.0	15591.0	14862.0	14423.0	13640.0	13023.0	12365.0	11725.0	10821.0	10505.0	10238.0	9732.0	9651.0	9465.0	9542.0	9286.0	9035.0	8651.0	7644.0	7875.0	8326.0	19786.0	104800.0
