prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndF_bin_092_k141_240868_fragment_2	IndF_bin_092_k141_240868	no	6.805093519960028e-07	0.4220986885732492	1.1674180896747868	2.505722187359959	43102	17.4725766785764	17.0	5.991113280017994	51289	14.96685449121644	14	5.881060716305058
IndF_bin_092_k141_240868_fragment_3	IndF_bin_092_k141_240868	no	0.0516031544267152	0	0.9169516702858095	-1.242972266570856	9170	13.723882224645584	14.0	4.432167951318743	51289	14.96685449121644	14	5.881060716305058
IndF_bin_144_k141_515011_fragment_1	IndF_bin_144_k141_515011	no	1.0206323516078288e-100	0	0.005086905192346906	-7.204701586242165	40367	0.03683702033839523	0	0.18836383206408516	10607	7.24153860658056	4	8.465920289284348
IndF_bin_049_k141_133603_fragment_1	IndF_bin_049_k141_133603	no	1.1679889480245313e-10	0.4246164517078225	7.156439685517949	0.14518186731971158	7152	0.16876398210290827	0.0	0.459109976865536	23662	0.023582114783196686	0.0	0.1517464062443648
IndF_bin_137_k141_157846_fragment_1	IndF_bin_137_k141_157846	no	3.34661961111988e-05	0.33937192838103414	1.173836683979428	1.3568873496450724	12314	9.162416761409778	9.0	4.2532435774206885	68000	7.805529411764706	7.0	3.7258046950838497
IndF_bin_137_k141_157846_fragment_2	IndF_bin_137_k141_157846	no	0.6369348861505866	0.05005340766267899	1.0244309073017552	0.19069616549994794	40536	7.996225577264654	8.0	3.892088303642179	68000	7.805529411764706	7.0	3.7258046950838497
IndF_bin_135_k141_356020_fragment_2	IndF_bin_135_k141_356020	no	nan	0	0.0	-16.609124888274966	5582	0	0.0	0.0	49228	16.609124888274966	17.0	6.374105695390949
IndF_bin_051_k141_461869_fragment_1	IndF_bin_051_k141_461869	no	nan	0	0	0	36613	0	0	0.0	31640	0	0.0	0.0
IndF_bin_106_k141_105858_fragment_1	IndF_bin_106_k141_105858	no	5.734412436410208e-20	0	0.8302778556757175	-9.02202324196491	26500	44.13558490566038	43.0	13.433680998820865	59502	53.15760814762529	50.0	16.538102907037477
IndF_bin_143_k141_230733_fragment_1	IndF_bin_143_k141_230733	no	2.2937452102907043e-06	0	0.832279337714267	-1.1557134577879635	12309	5.734990657242668	5	3.1056515354322136	71494	6.890704115030632	6.0	3.5546018795230965
IndF_bin_138_k141_92360_fragment_1	IndF_bin_138_k141_92360	no	2.6440548141948566e-05	0	0.8025471237170748	-4.180229576948129	6449	16.990541169173515	17	5.914617136928252	16244	21.170770746121644	19.0	11.63464279664908
IndF_bin_030_k141_113638_fragment_1	IndF_bin_030_k141_113638	no	4.091231925891306e-44	0	0.08865840934378615	-30.369723318168504	7226	2.954469969554387	2.0	3.4647013007057175	18563	33.32419328772289	33	28.884033918542702
IndF_bin_096_k141_435498_fragment_3	IndF_bin_096_k141_435498	no	0.00016813708611506845	0	0.834209465446616	-0.25572770365686837	5810	1.2867469879518072	1.0	1.505385953275851	214257	1.5424746916086756	1	1.6847239791371107
IndF_bin_042_k141_421360_fragment_1	IndF_bin_042_k141_421360	no	4.3223975135098545e-09	0	0.31169803047554895	-1.8821721292696663	10030	0.8523429710867397	0.0	1.653391741750288	106620	2.734515100356406	1.0	7.615196217270974
IndF_bin_019_k141_155288_fragment_1	IndF_bin_019_k141_155288	no	nan	0	0	0	5488	0	0.0	0.0	6491	0	0	0.0
IndF_bin_135_k141_431283_fragment_2	IndF_bin_135_k141_431283	no	2.2832905741055107e-37	0.8976422417740055	1.2998187071796565	5.31091289461704	32765	23.02466046085762	23	6.118768333340686	70878	17.71374756624058	17.0	5.707096461181767
IndF_bin_034_k141_29957_fragment_1	IndF_bin_034_k141_29957	no	6.84087114471706e-07	0.3398059430871531	1.2534336384278693	0.8214419670610646	6811	4.062692702980473	4	2.403992952747902	107009	3.2412507359194085	3	2.4307043024071717
IndF_bin_040_k141_272122_fragment_1	IndF_bin_040_k141_272122	no	0.287096974858444	0	0.8540027514194596	-0.10620078964849067	13113	0.6212155875848395	0	0.944282828265456	63918	0.7274163772333302	0.0	1.054588816635323
IndF_bin_040_k141_272122_fragment_2	IndF_bin_040_k141_272122	no	0.5805991865168992	0	0.7794492188100104	-0.16043225024920316	11025	0.566984126984127	0	0.8935942726297891	63918	0.7274163772333302	0.0	1.054588816635323
