Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
Res2_DNA_A1_1	3.0	8.0	15.5	12.5	22.0	43.0	64.5	86.0	134.5	244.5	413.5	712.5	1133.5	1858.5	3070.5	4803.0	7499.0	11333.0	17122.5	26246.0	39457.0	57506.5	81087.0	111301.5	150669.0	198500.5	253151.0	315895.0	383773.0	456518.5	535878.5	622073.0	716903.5	815850.0	918918.0	1027950.5	1137543.5	1250370.5	1361976.5	1469219.0	1578082.0	1681412.5	1768779.5	1832816.0	1876702.0	1897838.5	1891091.0	1857026.5	1796112.0	1713595.0	1611887.0	1496484.5	1372175.5	1238106.5	1100909.0	969881.0	848727.5	739596.0	646873.0	569641.5	502544.5	445760.0	396596.0	353642.0	316522.5	281070.0	245365.0	211199.5	178830.5	147803.0	118708.0	92980.0	71478.5	53674.0	39153.0	27689.5	18973.5	12616.5	8315.0	5344.5	3227.5	1917.0	1136.0	609.5	308.5	150.5	89.0	52.5	28.0	12.0	2.5	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Res2_DNA_A1_2	2870.0	1623.0	414.5	471.5	508.5	527.5	572.0	653.0	745.5	966.5	1304.0	1675.0	2245.0	3197.0	4500.0	6350.5	9108.0	13052.0	19234.0	28487.5	41720.5	59711.0	83473.0	114178.0	152971.0	200924.5	255958.5	317939.5	385646.0	458298.0	539255.0	626772.5	721196.0	820639.5	924203.0	1031286.0	1139384.0	1250143.5	1360807.0	1469963.0	1576961.5	1675386.0	1758826.5	1821129.0	1863676.0	1885671.5	1876603.0	1840014.5	1781404.5	1701191.5	1601895.5	1487368.0	1361681.5	1230411.5	1100149.0	970372.5	848916.0	742059.0	649589.0	571615.0	503915.0	447242.5	399479.5	357092.5	319803.0	283493.0	248211.0	215181.0	182753.5	152545.5	124291.5	98224.0	75998.0	57887.5	43031.5	30858.5	21598.0	14975.0	10121.0	6638.0	4342.5	2810.0	1777.5	1100.0	708.0	480.0	332.0	237.0	178.0	155.0	132.0	102.0	79.5	72.5	68.5	67.5	74.0	54.5	47.5	69.5	127.0
Res2_DNA_A2_1	0.0	0.5	1.5	2.0	2.0	1.0	3.5	9.0	13.5	22.0	34.0	85.5	196.0	519.5	1144.0	2011.5	3616.5	6204.5	10666.0	18319.5	30392.0	48400.5	72646.5	104857.5	147645.5	200299.0	260037.5	329554.5	406290.5	489981.0	587833.5	695701.0	810354.0	932080.0	1069000.5	1213841.5	1364797.5	1519019.0	1665681.5	1819777.0	1964350.0	2086658.0	2178599.0	2224348.5	2238477.5	2211360.5	2130713.5	2009100.0	1862200.0	1704133.5	1541585.5	1376300.0	1211179.5	1057737.5	922149.5	798730.0	689859.0	598310.5	522669.0	461127.0	404774.0	354078.0	309904.0	269715.5	234105.5	200586.5	169067.0	140225.5	113857.0	90421.0	69795.0	52543.5	38561.5	27280.5	18864.5	12793.5	8337.0	5225.5	3159.5	1943.0	1174.0	654.5	369.5	213.0	101.5	56.5	29.5	13.5	6.0	2.5	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Res2_DNA_A2_2	3708.0	2101.5	447.0	426.5	488.5	516.0	508.5	518.0	617.0	731.5	837.5	1081.0	1363.5	1845.0	2552.5	3634.0	5533.5	8114.5	12520.5	20405.5	32978.0	51171.0	75170.0	107100.0	149691.5	202419.5	262230.0	330389.5	406360.0	490178.5	587672.5	696214.0	811133.0	933140.0	1068725.0	1212484.0	1362656.0	1516482.0	1664707.5	1816285.0	1955930.0	2074959.5	2166829.0	2211159.0	2220230.0	2192871.0	2115211.5	1996845.5	1855085.0	1700371.0	1537893.5	1372051.5	1209576.0	1059025.5	924151.0	801415.0	693520.0	602262.5	526996.0	464864.5	408436.5	359580.5	315121.0	274200.0	238693.0	205506.5	174069.0	145234.5	118823.0	94990.0	74026.0	56435.5	42210.0	30628.5	21662.0	14931.0	10025.5	6539.0	4176.0	2688.0	1728.5	1086.0	733.5	498.0	333.5	239.0	189.5	142.0	120.0	103.0	95.5	84.0	68.0	59.0	53.0	46.5	46.5	44.0	45.5	64.0	121.5
Res2_DNA_A3_1	0.0	0.0	0.0	0.0	0.0	1.5	2.0	2.5	5.5	10.0	26.0	75.0	193.0	470.5	941.0	1686.0	3005.0	5246.5	9248.5	15788.0	25645.0	40197.0	60610.0	88270.5	125375.0	171917.0	225813.0	288079.5	357684.0	435586.0	526668.0	626788.5	734951.0	855028.5	986100.5	1123574.5	1271078.5	1424962.5	1579078.0	1736051.5	1886760.0	2027718.0	2147825.5	2231289.5	2284297.5	2304760.5	2276157.5	2207623.0	2114070.5	1994765.0	1861453.0	1717584.5	1562126.5	1407284.5	1259445.5	1114459.0	976180.0	852089.5	745816.5	652128.5	563525.5	487491.5	422366.5	365304.0	315519.0	270423.0	229981.0	192847.5	158855.0	128380.5	101507.5	78358.0	59039.5	43294.5	30890.0	21319.5	14324.5	9331.5	6029.5	3874.5	2364.5	1396.5	773.5	430.5	251.0	135.5	66.0	35.0	13.5	5.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Res2_DNA_A3_2	3743.0	2110.5	446.0	431.0	475.5	549.5	602.5	607.0	642.0	759.0	904.0	1070.0	1300.5	1723.5	2401.0	3374.0	5056.0	7463.0	11410.5	18120.0	28066.0	42648.0	63113.5	90143.5	126457.0	172710.0	226166.5	287441.5	356061.5	434845.0	526141.0	627325.5	736076.0	852560.5	982155.0	1121607.0	1267656.5	1421392.5	1577211.0	1732794.5	1879646.5	2017086.0	2136777.0	2218358.5	2271918.0	2292633.5	2265200.0	2198418.5	2102813.0	1985261.5	1854414.5	1711143.5	1558604.0	1408175.0	1259579.5	1115959.0	980074.0	855408.5	749814.5	656368.5	570245.5	494839.0	428450.0	370658.0	321584.5	276412.0	234635.0	197831.0	164819.0	134058.5	106002.0	82467.5	63114.0	47137.0	34139.5	23942.0	16510.0	11087.5	7376.5	5015.5	3268.5	2077.0	1324.5	888.0	630.5	422.5	279.5	191.5	151.5	126.5	103.5	89.0	87.5	76.0	62.5	68.5	64.0	53.5	50.5	61.0	111.5
Res2_DNA_A4_1	2.0	2.5	3.5	2.0	1.0	2.0	1.0	9.5	19.0	18.0	44.5	129.0	232.5	476.5	1006.0	1907.5	3578.5	6600.0	11536.0	19252.0	31190.5	49198.5	73719.0	105855.5	149487.0	205798.5	270218.0	340351.0	417299.5	502295.5	598285.0	702382.0	811676.5	924477.0	1044891.5	1165809.5	1283545.0	1402181.5	1518697.0	1637663.0	1752137.0	1853339.5	1937735.0	1995340.5	2025720.0	2029123.5	1992694.0	1921322.5	1830051.0	1719266.5	1593446.0	1458123.5	1313450.0	1167456.0	1024482.0	885438.0	755854.5	640785.0	542516.0	455403.0	378768.0	315468.0	261511.5	217634.0	182925.5	153008.5	127208.0	105523.5	86377.5	69283.5	54299.5	41744.5	31568.5	23615.0	17334.0	12270.5	8507.5	5755.0	3748.0	2414.5	1542.5	957.0	582.5	306.5	159.0	91.0	41.5	15.5	10.5	8.0	3.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Res2_DNA_A4_2	2840.0	1607.5	379.5	361.5	377.0	438.5	479.5	506.5	573.5	676.0	777.0	983.5	1298.0	1710.0	2310.0	3358.5	5365.5	8518.0	13430.5	21381.0	33400.0	51278.0	75678.5	107544.5	150979.0	207497.5	272444.0	342383.0	419250.5	505193.5	601805.5	706534.0	815852.0	927594.5	1046831.0	1167999.0	1286345.5	1405363.5	1522654.0	1639573.0	1748074.0	1845445.0	1928768.0	1982893.5	2010668.5	2012508.5	1976453.5	1910000.0	1819664.5	1708634.5	1584966.5	1449340.0	1305476.0	1161621.0	1020740.0	885718.0	758454.0	643589.0	545513.0	459600.0	383840.5	320103.0	267096.0	222674.0	186745.5	156803.5	130722.0	108863.5	89336.0	72043.5	57529.5	45044.0	34535.0	26048.0	19407.5	14001.0	9913.5	6872.0	4608.0	3068.0	2029.5	1346.5	883.0	554.0	354.0	264.0	188.5	124.5	92.5	98.0	83.0	58.5	57.5	50.5	43.5	53.0	44.5	36.0	53.0	71.5	114.0
Res2_DNA_A5_1	0.0	0.0	0.0	0.0	2.0	2.0	2.0	5.0	11.0	21.0	40.0	101.5	219.5	486.0	1017.0	1879.0	3561.5	6191.0	10204.0	17312.0	28230.5	44397.5	66060.0	94514.0	133156.0	180982.5	236220.0	300324.5	369585.0	444161.5	530206.5	626331.0	727691.0	833291.5	948866.5	1069168.5	1195011.0	1327560.0	1459008.5	1592517.5	1723615.5	1845802.0	1951693.0	2026703.0	2076047.5	2098540.5	2077082.5	2022727.5	1944660.0	1843415.0	1724201.0	1588924.5	1444372.0	1297359.5	1151834.0	1010652.0	878030.5	757944.0	652523.5	561561.5	480651.0	410957.0	352620.5	304052.5	263306.5	226397.5	192908.5	163408.5	137465.0	112463.5	89613.0	70490.0	53982.0	40106.0	29257.0	20678.0	14216.0	9457.0	6102.5	3882.0	2352.5	1394.5	824.0	433.5	221.0	107.0	53.5	36.0	18.5	9.0	6.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
