Sample	QUAST_mqc-generalstats-quast-N50	QUAST_mqc-generalstats-quast-Total_length
IndA	25601.0	287026378.0
IndB	18405.0	574488758.0
IndC	14794.0	530396230.0
IndD	15677.0	767679649.0
IndE	14081.0	747991539.0
IndF	16575.0	647144113.0
IndG	15137.0	282670384.0
IndH	27150.0	376692949.0
IndI	25054.0	597744525.0
IndJ	27860.0	410890728.0
