Running on Individual G
Completed indexing bam file
Completed the cutting of contigs
Completed coverage table step
Setting 8 OMP threads
Generate input data
0,-1603360.510762,67935.959977
1,-1549632.336287,53728.174474
2,-1513613.512065,36018.824223
3,-1487577.023689,26036.488376
4,-1455611.620797,31965.402891
5,-1428106.816269,27504.804529
6,-1404730.267740,23376.548529
7,-1383181.990633,21548.277107
8,-1364973.146287,18208.844346
9,-1355240.653084,9732.493202
10,-1346615.894064,8624.759020
11,-1337229.926524,9385.967540
12,-1331992.932682,5236.993841
13,-1327973.771081,4019.161602
14,-1322116.253869,5857.517212
15,-1320337.212385,1779.041484
16,-1315804.038307,4533.174078
17,-1313699.572942,2104.465365
18,-1311066.415839,2633.157103
19,-1309751.530734,1314.885105
20,-1306110.808742,3640.721992
21,-1305505.406284,605.402458
22,-1304518.313683,987.092601
23,-1302661.606141,1856.707542
24,-1299940.458905,2721.147236
25,-1298243.680202,1696.778703
26,-1296559.172471,1684.507731
27,-1295401.457537,1157.714934
28,-1294082.479011,1318.978526
29,-1292760.159275,1322.319736
30,-1291508.330771,1251.828503
31,-1290241.544370,1266.786402
32,-1289059.474425,1182.069945
33,-1287918.207489,1141.266936
34,-1285838.541218,2079.666271
35,-1285592.464905,246.076314
36,-1285370.017759,222.447145
37,-1284555.175005,814.842755
38,-1283767.604828,787.570177
39,-1282433.326473,1334.278355
40,-1281697.708381,735.618092
41,-1281479.291587,218.416794
42,-1281354.203518,125.088069
43,-1280671.917885,682.285633
44,-1280567.515386,104.402499
45,-1279866.640438,700.874948
46,-1279826.343226,40.297212
47,-1279792.512608,33.830618
48,-1279756.229472,36.283136
49,-1279730.554562,25.674910
50,-1279710.316285,20.238277
51,-1279644.755128,65.561157
52,-1278963.917009,680.838120
53,-1278925.083947,38.833062
54,-1278919.770110,5.313836
55,-1278826.012384,93.757726
56,-1278794.761664,31.250720
57,-1278732.966167,61.795497
58,-1278655.906728,77.059439
59,-1278572.548039,83.358689
60,-1278468.564980,103.983059
61,-1278332.837075,135.727905
62,-1278183.894752,148.942323
63,-1277514.068301,669.826451
64,-1277486.882224,27.186077
65,-1276856.206388,630.675836
66,-1276823.980796,32.225592
67,-1276770.700039,53.280757
68,-1276118.747586,651.952453
69,-1276062.988133,55.759453
70,-1275388.799338,674.188794
71,-1275364.285786,24.513552
72,-1274720.679926,643.605860
73,-1274709.400628,11.279298
74,-1274685.699193,23.701435
75,-1274640.431494,45.267700
76,-1274617.382034,23.049459
77,-1274609.588919,7.793115
78,-1274602.874833,6.714086
79,-1274592.527365,10.347468
80,-1274571.174136,21.353229
81,-1274548.738455,22.435681
82,-1274532.143769,16.594686
83,-1274506.219909,25.923860
84,-1274457.283641,48.936268
85,-1274398.153968,59.129672
86,-1273724.097247,674.056722
87,-1273721.739736,2.357511
88,-1273715.868827,5.870909
89,-1273712.154342,3.714486
90,-1273702.622004,9.532337
91,-1273707.025438,4.403434
92,-1273712.951258,5.925820
93,-1273707.875877,5.075381
94,-1273698.301382,9.574495
95,-1273690.651379,7.650003
96,-1273676.906396,13.744983
97,-1273682.181146,5.274750
98,-1273671.948144,10.233002
99,-1273661.392000,10.556144
100,-1273649.089510,12.302490
101,-1273630.917180,18.172330
102,-1273617.787319,13.129861
103,-1273599.368943,18.418376
104,-1273607.387382,8.018439
105,-1273599.386193,8.001189
106,-1273590.260958,9.125235
107,-1273555.977106,34.283852
108,-1272945.243501,610.733605
109,-1272914.457903,30.785598
110,-1272877.566207,36.891696
111,-1272835.762236,41.803971
112,-1272175.537817,660.224418
113,-1272163.497958,12.039860
114,-1272152.185395,11.312563
115,-1272129.295805,22.889589
116,-1272095.199315,34.096490
117,-1272074.907272,20.292043
118,-1272036.071172,38.836100
119,-1271995.581736,40.489436
120,-1271937.887344,57.694392
121,-1271898.098933,39.788411
122,-1271891.822699,6.276234
123,-1271873.234086,18.588613
124,-1271866.694995,6.539091
125,-1271862.349950,4.345045
126,-1271849.317495,13.032455
127,-1271850.528247,1.210752
128,-1271851.187536,0.659289
129,-1271849.605134,1.582402
130,-1271847.880646,1.724488
131,-1271847.436512,0.444134
132,-1271845.259079,2.177432
133,-1271842.837090,2.421989
134,-1271839.053114,3.783976
135,-1271835.551445,3.501669
136,-1271835.469152,0.082293
137,-1271835.861663,0.392510
138,-1271833.571321,2.290342
139,-1271832.627943,0.943378
140,-1271836.198599,3.570656
141,-1271842.291663,6.093064
142,-1271836.437749,5.853914
143,-1271831.517489,4.920260
144,-1271834.060310,2.542821
145,-1271834.942105,0.881795
146,-1271830.017838,4.924267
147,-1271821.623178,8.394660
148,-1271817.219841,4.403337
149,-1271819.027548,1.807707
150,-1271816.846312,2.181236
151,-1271816.493479,0.352834
152,-1271813.486653,3.006826
153,-1271809.498573,3.988080
154,-1271803.656355,5.842218
155,-1271797.585132,6.071224
156,-1271798.602462,1.017331
157,-1271800.661503,2.059040
158,-1271798.800971,1.860532
159,-1271789.042811,9.758159
160,-1271793.899104,4.856293
161,-1271800.103255,6.204151
162,-1271799.102365,1.000890
163,-1271797.854513,1.247852
164,-1271790.446400,7.408113
165,-1271785.838089,4.608311
166,-1271784.304970,1.533119
167,-1271781.507104,2.797866
168,-1271784.351970,2.844866
169,-1271784.971747,0.619778
170,-1271781.337182,3.634565
171,-1271783.532186,2.195004
172,-1271784.519856,0.987670
173,-1271784.973510,0.453655
174,-1271784.484967,0.488543
175,-1271785.047941,0.562974
176,-1271784.589323,0.458618
177,-1271781.419988,3.169336
178,-1271781.552743,0.132755
179,-1271782.484224,0.931480
